true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-07,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,16,True,89.3393639748758,2022-06-07,best_constant_price,1.0,0.0,80.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-17,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,17,True,93.26932573131452,2022-06-17,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-17,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,17,True,93.26932573131452,2022-06-17,myopic_grid_max_sl,1.0,0.0,
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-17,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,17,True,93.26932573131452,2022-06-17,best_constant_price,1.0,0.0,80.0
1404812.4800074333,-17.018751999257347,1.3500000000000012,-3500.0000000000127,33.0,10000,2022-12-17,12,5,80.0,15000.0,100,195.43755580295394,1.0,False,True,18,False,195.43755580295394,2022-12-17,always_min_price_80,0.0,1.0,
1602947.56284801,2.794756284801082,1.3499999999999996,-3499.9999999999964,27.0,10000,2022-12-17,12,5,91.99999988079071,15000.0,100,195.43755580295394,0.0,False,True,18,False,195.43755580295394,2022-12-17,myopic_grid_max_sl,0.0,1.0,
1693166.9351384754,120.1267071850138,1.109311080730742,-1093.110807307421,7.0,10000,2022-12-17,12,5,120.0,15000.0,100,195.43755580295394,0.0,False,True,18,False,195.43755580295394,2022-12-17,best_constant_price,0.0,1.0,120.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,19,True,93.26932573131452,2022-06-03,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-03,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,19,True,93.26932573131452,2022-06-03,myopic_grid_max_sl,1.0,0.0,
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,19,True,93.26932573131452,2022-06-03,best_constant_price,1.0,0.0,80.0
