policy,seed,dow,month,days_prior,price,selling_limit,accepted,show_ups,revenue
Joint BC to SAC + cap,4,6,12,24,106.28259420394897,13513.440191745758,222.65632157007659,7820.665907007194,1177817.4144163101
Joint BC to SAC + cap,4,6,12,23,104.47346210479736,13445.84196805954,221.32383279890726,8000.57449441203,1200939.8814751152
Joint BC to SAC + cap,4,6,12,22,102.77605295181274,12192.138470709324,230.0133040559056,8187.111049178179,1224579.7409923864
Joint BC to SAC + cap,4,6,12,21,97.16138124465942,12212.8451988101,248.3941322412107,8388.217016708715,1248714.057974011
Joint BC to SAC + cap,4,6,12,20,96.89451932907104,12236.571628600359,241.77983791377267,8585.119522969158,1272141.1991521267
Joint BC to SAC + cap,4,6,12,19,94.75890159606934,12322.791889309883,260.7939201777846,8798.25206684389,1296853.7445711065
Joint BC to SAC + cap,4,6,12,18,94.07399773597717,12362.73811198771,276.7548122607248,9025.65835874972,1322889.1761531427
Joint BC to SAC + cap,4,6,12,17,92.04405784606934,12361.275255680084,243.67092155292798,9225.246464722653,1345317.6365519655
Joint BC to SAC + cap,4,6,12,16,92.34804153442383,12379.309246316552,282.4050563448996,9458.12881464773,1371397.1904248355
Joint BC to SAC + cap,4,6,12,15,96.08497977256775,12303.51535603404,257.29941557540343,9669.261573362544,1396119.7995658917
Joint BC to SAC + cap,4,6,12,14,97.1768057346344,11089.726388454437,50.80203934493329,9711.730586843949,1401056.5794742375
Joint BC to SAC + cap,4,6,12,13,92.44938850402832,11017.157137393951,0.0,9711.730586843949,1401056.5794742375
Joint BC to SAC + cap,4,6,12,12,96.78354978561401,11038.348823785782,6.73121506742973,9717.38319771896,1401708.0503628338
Joint BC to SAC + cap,4,6,12,11,94.62087392807007,10920.144766569138,0.0,9717.38319771896,1401708.0503628338
Joint BC to SAC + cap,4,6,12,10,96.77136778831482,10913.827568292618,0.0,9717.38319771896,1401708.0503628338
