policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,n_seasons,history
"fitted, 5 seasons, history 1",16,2978096.842022486,3286622.315341234,693.8463117084139,424.39052744266337,2,9052.0,87.42372773235422,6279.0,119.09574031003969,8273.0,80.0,3098.0,81.63017729199879,2703.0,80.0,614.0,80.0,5,1
"fitted, 5 seasons, history 1",17,2978602.650044274,3379251.688093953,2003.2451902483936,0.0,0,9465.0,96.99221126097994,7172.0,117.4414642832496,8526.0,80.0,3011.0,83.48891176840111,2035.0,80.0,452.0,80.0,5,1
"fitted, 5 seasons, history 1",18,2140523.544287117,2884247.1506528556,3714.584547837012,2.016741995839766,1,8649.0,80.5588874867616,7573.0,110.47317216160762,6604.0,80.0,2654.0,80.0,1986.0,80.0,334.0,80.0,5,1
"fitted, 5 seasons, history 1",19,2498917.4618848735,3141572.4332455825,2409.7875877340657,401.7436345347396,2,8856.0,93.12683411768188,6642.0,115.67015812998973,6970.0,80.0,3465.0,80.0,1956.0,80.0,515.0,80.0,5,1
"fitted, 5 seasons, history 1",20,3023627.0139226997,3339196.226443099,1220.767214053718,178.53942427413858,2,9514.0,90.45791728321122,6825.0,119.3779703385664,7778.0,80.0,2643.0,87.21622282442522,2586.0,80.0,695.0,80.0,5,1
"fitted, 5 seasons, history 1",21,3318268.9533203836,3409773.1716656685,127.9669185701623,164.77708657813128,2,9462.0,96.9557329681762,6612.0,104.34371945202008,9938.0,83.62054731013862,2853.0,80.95077240494231,2299.0,80.1213926706899,586.0,80.28047968910009,5,1
"fitted, 5 seasons, history 1",22,675617.597750511,2250849.7032749234,7876.160527622062,0.0,0,7383.0,80.0,7430.0,90.20319021196815,5944.0,80.0,1585.0,80.0,1296.0,80.0,223.0,80.0,5,1
"fitted, 5 seasons, history 1",23,2357602.101164006,3157153.1949636713,2927.46006764048,535.1477006789228,2,9158.0,95.23154071554359,7082.0,118.43846856588296,6531.0,80.0,3348.0,80.92017782364695,1841.0,80.0,364.0,80.0,5,1
"fitted, 5 seasons, history 1",24,3500482.4471116746,3515551.4400545508,75.3449647143807,0.0,0,9567.0,97.88457252647001,7007.0,116.16835487030093,9976.0,80.89998765776133,2860.0,82.65750541053451,2260.0,80.21693279257917,509.0,80.3263445141266,5,1
"fitted, 5 seasons, history 1",25,2245512.9587132325,3014934.647247875,3847.1084426732123,0.0,0,9471.0,90.35615808230176,7580.0,109.96985145783577,6342.0,80.0,3003.0,80.0,1616.0,80.0,330.0,80.0,5,1
"fitted, 5 seasons, history 1",26,1166872.9519845631,2484684.5525502414,6589.058002828391,0.0,0,5029.0,80.0,7844.0,98.9245987442939,7424.0,80.0,1563.0,80.0,2401.0,80.0,326.0,80.0,5,1
