policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
SAC,27,2610961.959746561,3236916.8288350105,2123.7062613370754,503.0340420525863,2,10728.0,86.87729805885724,9825.0,99.32987530686474,8316.0,82.22453224624562,2079.0,86.1731791679764,1433.0,85.80805246928149,154.0,88.67528755943496
SAC,28,1330902.059777622,2596468.5928833485,6327.832665528632,0.0,0,8763.0,82.37427200504352,7967.0,94.31545925825681,6049.0,81.2285670248373,2066.0,83.35188975754227,1449.0,81.75904503684771,192.0,87.69489663963516
SAC,29,2071037.6399421683,2877837.080105543,4033.9972008168743,0.0,0,9275.0,83.95727048190135,8713.0,96.99866964063729,7168.0,81.08363266535369,2141.0,85.30800009987611,1493.0,83.81865867016225,217.0,87.8727152765072
"SAC, kept checkpoint",0,2276046.901340237,3121836.792602539,3248.632479455706,490.15848842790183,1,9138.0,83.28428475829125,9397.0,101.56442711261202,8077.0,82.16926975475764,2255.0,83.59569090115787,1747.0,85.76350283131438,256.0,85.97479197662324
"SAC, kept checkpoint",1,2062059.722017513,3011832.827986479,4051.2881149388895,348.7887074529699,1,10864.0,83.74935515598011,9362.0,100.49879528548671,6446.0,84.03112397166538,2300.0,85.67380810405898,1068.0,90.3538735551334,115.0,93.76839360983476
"SAC, kept checkpoint",2,1694979.5474278193,2766299.337939024,5356.5989525560235,0.0,0,10311.0,82.4443365175802,9230.0,98.30086112874817,5693.0,82.82636100329144,2125.0,84.98229693693273,824.0,90.01633056159159,98.0,94.71662567586316
"SAC, kept checkpoint",3,2976067.016394557,3246523.971210718,1352.2847740808065,0.0,0,9820.0,81.73762237030232,9240.0,101.10940064147954,10429.0,83.25170984271847,1791.0,82.85675631362855,1751.0,82.91241874223707,214.0,84.46321511937079
"SAC, kept checkpoint",4,2121885.959211671,3094622.3416793346,3659.1805851933877,602.2506635724658,1,8704.0,83.17479538224528,9177.0,101.32022616532525,7454.0,81.97115252844476,2614.0,83.18759078959427,1842.0,85.34335524329146,321.0,83.62470492395657
"SAC, kept checkpoint",5,1117694.8004396155,2540780.6678438187,7115.429337021016,0.0,0,7406.0,83.36659076839662,8559.0,94.823124203424,7091.0,83.89401974773529,1574.0,85.57896305069687,1194.0,88.75288276816133,129.0,91.83365062225697
"SAC, kept checkpoint",6,2620174.727841341,3153656.139833927,2667.407059962932,0.0,0,10389.0,93.95223145880108,8534.0,94.45963648811615,9429.0,81.74780313593672,1888.0,86.94021524009058,1415.0,85.12834872795078,111.0,94.4995615718601
"SAC, kept checkpoint",7,2041923.9640512553,2896781.62042737,4274.288281880574,0.0,0,9830.0,84.26419230528548,9198.0,97.68584574907078,6796.0,82.54494100107453,2019.0,86.4229103147895,1279.0,88.00970675425198,124.0,93.73720455554223
"SAC, kept checkpoint",8,-751954.3868944105,1923465.9134840965,13377.101501892535,0.0,0,6259.0,85.03990370409427,8341.0,86.77829674859225,4150.0,96.18628258389163,799.0,90.63250630609085,630.0,90.19918777261462,36.0,90.07952431837718
"SAC, kept checkpoint",9,1298717.40124957,2565994.2280113697,6336.384133808998,0.0,0,8453.0,87.43009705043158,8879.0,86.34132679779663,7270.0,83.60828475660274,1285.0,88.75167520408037,1087.0,88.79277200027684,114.0,91.70600942352362
"SAC, kept checkpoint",10,761764.2786531979,2400608.7099432945,8194.222156450483,0.0,0,7442.0,84.14365613101728,9693.0,86.06061933223374,6220.0,84.68023586445683,1253.0,88.49232721785403,866.0,93.13586745333727,116.0,87.47665607723697
"SAC, kept checkpoint",11,1974527.6697118718,3161815.0417101383,3519.3172808263444,1208.559789582494,2,10821.0,83.15143818214567,9381.0,101.364367882614,6773.0,83.96210021605154,2736.0,84.7381003741284,1367.0,88.99426099934888,126.0,93.81400648563627
"SAC, kept checkpoint",12,2582156.18156301,3160513.968719244,1905.127742882285,493.33059644944296,1,9678.0,84.62419382105388,8939.0,100.43577725408008,8439.0,82.38554544620625,2403.0,85.28268991834265,1616.0,86.87464471722004,218.0,88.41977148427875
"SAC, kept checkpoint",13,2912215.27331296,3247770.7424616814,1125.9371485234205,275.9200986100932,1,9554.0,81.25741242838374,9136.0,101.38667506167434,10783.0,83.41341646352416,1599.0,82.5124589154838,2067.0,81.59396116146443,180.0,82.4770592186186
"SAC, kept checkpoint",14,1441693.2335917095,2711852.3965990543,6350.795815036724,0.0,0,10269.0,83.72430756152669,9385.0,96.07674442584933,5871.0,83.01093059287854,1810.0,86.02451250829749,729.0,91.65770524486756,63.0,95.26133743543474
"SAC, kept checkpoint",15,587019.294001763,2366468.011171818,8897.243585850274,0.0,0,7263.0,82.78101219645745,9247.0,91.59475718780094,5370.0,84.63899356604067,1560.0,86.32792738156441,912.0,91.3979318084424,98.0,94.178378825285
"SAC, kept checkpoint",16,2298592.4207380405,3007697.9243326187,2938.7057550510135,303.410881460939,1,8664.0,83.5769619090295,8459.0,100.18046783871058,7845.0,81.91544259073173,2395.0,83.44421530118318,1815.0,84.89940943271333,338.0,84.46869255170314
