policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 3,11,2953219.8000354012,3331186.795539856,1842.4572419369197,23.68886779267632,1,9862.0,91.4750536305018,7532.0,116.69076416762155,7508.0,80.0013652812247,2421.0,90.0829933567118,2305.0,80.74835469976165,585.0,80.37775578050532,3
dagger round 3,12,3163785.270890125,3417922.9377424717,202.7665397263154,533.9608972677088,2,9710.0,90.71471723321783,7044.0,116.10681090603357,8933.0,80.0711927502817,2526.0,87.9534992724303,2554.0,80.66714163254086,614.0,80.10958456255325,3
dagger round 3,13,3246551.981103456,3362897.6123631,581.7281562982207,0.0,0,9701.0,80.23222797274062,8258.0,117.01590932232614,10110.0,81.57083550133879,1927.0,84.37011607335403,2245.0,84.22271697505279,376.0,80.00338309622825,3
dagger round 3,14,1790465.7959057637,2838542.5395941734,5240.383718442049,0.0,0,9836.0,86.60883934699505,7798.0,105.82988729031155,6244.0,80.00017553567886,2392.0,80.05752272579981,1350.0,80.0000917399371,262.0,80.00000283008313,3
dagger round 3,15,1271730.8635329525,2565329.09624815,6467.991163575987,0.0,0,7588.0,80.01190660813009,7794.0,100.52000628454978,5951.0,80.00017324589297,2219.0,80.00506329450482,1717.0,80.00067502520567,287.0,80.0,3
dagger round 3,16,3082617.6152679804,3236351.8003606796,768.6709254634952,0.0,0,9367.0,85.048709408863,6789.0,115.03884413874822,8281.0,80.0141540002368,2464.0,86.16891803195725,2554.0,80.20182887417502,674.0,80.01644275131848,3
dagger round 3,17,2897049.424999283,3337752.629250288,2203.5160212550236,0.0,0,9861.0,92.8018675851672,7569.0,115.38055692249505,8511.0,80.00222403621326,2599.0,85.22407919638613,2016.0,80.0919124584586,427.0,80.01069022565034,3
dagger round 3,18,2062658.5255089349,2864815.8580994606,4010.786662952629,0.0,0,8743.0,80.18019148363452,7513.0,111.4858099690103,6502.0,80.00019552578598,2540.0,80.55576126124915,1913.0,80.00601191702651,378.0,80.00001194931212,3
dagger round 3,19,2558440.865869636,3117285.455842018,2531.6910808637867,131.26593449906068,1,9385.0,90.77484975778238,6871.0,114.40669375655433,7031.0,80.00053276752547,2870.0,83.41792238755508,1999.0,80.01266003668815,492.0,80.00126208958586,3
dagger round 3,20,3003422.41958526,3334866.58988595,1311.4087726999296,172.9060394017597,2,9766.0,90.36347791695971,7160.0,116.30582687924694,7810.0,80.00390805920321,2473.0,88.53271611489798,2501.0,80.47856245504194,642.0,80.14539919352606,3
dagger round 3,21,3275356.8594609764,3382409.2801117897,382.52662313596375,76.36774005905136,2,9640.0,94.89209604498262,6668.0,105.85664425932438,10008.0,83.56603569919162,2674.0,81.66962918052944,2244.0,80.23622795912884,534.0,80.27410555644875,3
dagger round 3,22,783492.2366693278,2285333.1883454323,7509.204758380522,0.0,0,7335.0,80.00556978825087,7770.0,89.0928164616208,6005.0,80.00013911436241,1632.0,80.00008481974696,1308.0,80.00001445275927,231.0,80.0,3
dagger round 3,23,2408007.9380145515,3109350.733335018,2957.2079578512894,274.7530093755213,1,9661.0,91.6622920173775,7367.0,114.9349897034346,6597.0,80.00028132579173,2829.0,84.04480607823965,1787.0,80.00721892165818,366.0,80.00190517941459,3
